@relation Output_Experiment1_50_1

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute class1 {class1,class2}

@data
1,-5.14939,4.86514,class1
1,-3.29251,5.19456,class1
1,-3.68632,6.0065,class1
1,-2.62344,6.43202,class1
1,4.53284,6.46408,class2
1,-2.50192,2.96567,class1
1,4.85474,8.37099,class2
1,5.70221,6.79765,class2
1,6.04309,6.70968,class2
1,8.34443,7.91065,class2
1,-0.828938,5.26163,class1
1,5.59999,8.82087,class2
1,8.02566,6.99825,class2
1,8.11151,5.2089,class2
1,6.82437,8.05268,class2
1,-1.38825,5.38966,class1
1,-4.98822,4.73991,class1
1,7.94011,7.69739,class2
1,8.07867,8.71745,class2
1,6.82046,7.82412,class2
1,4.36164,7.50476,class2
1,-7.40027,6.60692,class1
1,0.0416955,4.79388,class1
1,-4.16289,9.69595,class1
1,-0.700353,6.33626,class1
1,-4.28282,4.10663,class1
1,5.47335,10.9079,class2
1,7.06465,7.92295,class2
1,8.28883,6.7739,class2
1,6.17405,8.74432,class2
1,0.951399,5.20114,class1
1,5.62721,8.14942,class2
1,-1.98996,5.02121,class1
1,-4.67069,5.84244,class1
1,4.75192,7.19382,class2
1,-4.93067,6.11017,class1
1,-3.51506,7.12635,class1
1,4.89622,6.22514,class2
1,-6.59945,8.15036,class1
1,-4.56387,7.08543,class1
1,7.4082,7.45497,class2
1,5.5497,8.59441,class2
1,5.44077,9.61387,class2
1,7.75317,6.7711,class2
1,9.76529,9.3032,class2
1,10.7534,8.017,class2
1,4.9469,6.13693,class2
1,7.66148,9.39175,class2
1,-4.08106,5.70975,class1
1,-3.91162,7.45462,class1
1,7.63489,6.53602,class2
1,3.84486,7.80475,class2
1,3.86359,9.43865,class2
1,8.38663,6.09961,class2
1,-3.86786,4.75639,class1
1,-3.32194,4.16577,class1
1,4.35558,7.91983,class2
1,-3.42752,6.80432,class1
1,-2.44878,7.06817,class1
1,0.682146,6.3295,class1
1,2.73765,8.04424,class2
1,1.072,8.70691,class1
1,-3.66329,7.17041,class1
1,5.36197,9.21672,class2
1,8.40639,6.99744,class2
1,7.18996,7.57245,class2
1,6.18909,10.3151,class2
1,-7.52389,6.10855,class1
1,0.419514,6.68768,class1
1,-2.91018,4.72955,class1
1,-2.89952,2.27051,class1
1,-4.0961,6.52624,class1
1,-3.40361,5.3569,class1
1,4.57543,7.53287,class2
1,8.12323,7.87404,class2
1,4.55214,10.574,class2
1,-1.6778,5.63012,class1
1,-4.96165,7.16017,class1
1,-4.82262,6.18997,class1
1,-2.0665,6.04771,class1
1,-4.13198,4.9825,class1
1,-5.13616,6.92683,class1
1,-3.14103,5.67627,class1
1,5.67842,9.4363,class2
1,-5.24001,7.59671,class1
1,8.40263,6.68842,class2
1,7.90543,9.01718,class2
1,-2.26007,6.20734,class1
1,-2.23693,2.25924,class1
1,8.84937,7.26705,class2
1,-2.94673,8.22536,class1
1,7.28787,8.98837,class2
1,4.60157,8.36546,class2
1,-4.26007,6.86793,class1
1,3.87227,7.92219,class2
1,-4.87319,5.83456,class1
1,5.86415,10.0595,class2
1,9.38979,6.80459,class2
1,4.56906,8.84891,class2
1,3.23587,6.02972,class2
1,6.11268,5.61899,class2
1,9.39273,8.48617,class2
1,-3.05557,6.32634,class1
